"Tool","Count 2025","Count 2022"
"Astrea",1,2
"No answer",24,0
"Other",11,4
"Protégé",10,6
"RDFShape",1,5
"SHACL Play",5,1
"SHACLGEN",2,1
"Shape Designer",1,1
"SheXer",0,3
"Spahiu et al.",1,1
"Text Editor",39,8
"TopBraid Composer/EDG",5,10
"UnSHACLed",1,1
