"Data Domain","Count"
"Government data",46
"IoT/sensor data",22
"Biomedical data",20
"Financial data",18
"Geographic data",18
"Cultural data",16
"Other",16
"Social data",11
"Educational data",10
"Not domain specific data",7
"Enterprise data",6
"Legal data",2
"Manufacturing data",2
"Software data",2
