"label","t1_value","t2_value"
"SheXer",3,0
"Astrea",2,1
"Shape Designer",1,1
"RDFShape",5,1
"Spahiu et al.",1,1
"UnSHACLed",1,1
"SHACLGEN",1,2
"SHACL Play",1,5
"TopBraid Composer/EDG",10,5
"Protégé",6,10
"Other",4,11
"No answer",0,24
"Text Editor",8,39
