"label","value"
"Apache Jena SHACL",40
"PySHACL",39
"TopBraid Composer/EDG",26
"RDF4J",20
"rdf-validate-shacl",10
"Not Applicable",9
"shacl-engine",9
"shacl-js",8
"Other",6
"maplib",3
"Corese SHACL",2
"Stardog SHACL",2
"rudof",1
"RDFLib SHACL",1
