identifier,label
other,Other
editor,Text Editor
astrea,Astrea
topbraid,TopBraid Composer/EDG
protege,Protégé
shapedesigner,Shape Designer
shaclgen,SHACLGEN
rdfshape,RDFShape
unshacled,UnSHACLed
shaclplay,SHACL Play
ontologypatterns,Spahiu et al.
no_answer,No answer
shexer,SheXer
